Carrier,FlightNo,Destination,DepartTime,Day,Month,FlightLength (min),Delay (min)
UA,685,ORD,Noon-4pm,Sun,May,160,-6
UA,687,ORD,4-8pm,Sun,May,160,-5
UA,689,ORD,4-8pm,Sun,May,160,-5
UA,691,ORD,4-8pm,Sun,May,160,-8
UA,693,ORD,4-8pm,Sun,May,160,-6
UA,745,DEN,Noon-4pm,Sun,May,277,43
UA,847,IAD,4-8pm,Sun,May,92,-9
AA,301,ORD,4-8am,Fri,May,140,-3
AA,303,ORD,4-8am,Fri,May,145,-5
AA,305,ORD,4-8am,Fri,May,145,0
AA,309,ORD,8-Noon,Fri,May,145,-9
AA,313,ORD,8-Noon,Fri,May,155,-3
AA,319,ORD,8-Noon,Fri,May,150,-7
AA,321,ORD,8-Noon,Fri,May,155,-6
AA,327,ORD,Noon-4pm,Fri,May,155,19
AA,329,ORD,Noon-4pm,Fri,May,150,42
AA,333,ORD,Noon-4pm,Fri,May,155,-10
AA,335,ORD,Noon-4pm,Fri,May,160,46
AA,337,ORD,Noon-4pm,Fri,May,160,-5
AA,341,ORD,4-8pm,Fri,May,160,79
AA,345,ORD,4-8pm,Fri,May,160,65
AA,347,ORD,4-8pm,Fri,May,155,111
AA,363,ORD,4-8pm,Fri,May,155,116
AA,371,ORD,8-Mid,Fri,May,155,0
AA,413,MIA,4-8am,Fri,May,185,-5
AA,599,MIA,8-Noon,Fri,May,190,-6
AA,611,BNA,8-Noon,Fri,May,155,-5
AA,701,DFW,4-8am,Fri,May,225,47
AA,707,DFW,4-8am,Fri,May,230,-2
AA,709,DFW,4-8am,Fri,May,235,-3
AA,713,DFW,8-Noon,Fri,May,240,-6
AA,721,DFW,8-Noon,Fri,May,245,1
AA,731,DFW,8-Noon,Fri,May,240,-1
AA,739,DFW,8-Noon,Fri,May,240,-4
AA,743,DFW,Noon-4pm,Fri,May,235,0
AA,745,DFW,Noon-4pm,Fri,May,240,19
AA,751,DFW,Noon-4pm,Fri,May,245,0
AA,753,DFW,Noon-4pm,Fri,May,240,33
AA,759,DFW,Noon-4pm,Fri,May,245,52
AA,763,DFW,4-8pm,Fri,May,250,55
AA,785,DFW,4-8pm,Fri,May,240,-1
AA,787,DFW,4-8pm,Fri,May,240,84
AA,791,DFW,8-Mid,Fri,May,235,50
AA,1423,MIA,Noon-4pm,Fri,May,190,34
AA,1551,BNA,4-8pm,Fri,May,150,-3
AA,1559,MIA,4-8pm,Fri,May,195,73
AA,1685,MIA,4-8am,Fri,May,175,-2
AA,1709,MIA,8-Mid,Fri,May,185,53
AA,1741,BNA,Noon-4pm,Fri,May,150,124
AA,1757,STL,8-Noon,Fri,May,170,14
AA,1855,STL,8-Noon,Fri,May,165,-10
AA,2011,MIA,4-8pm,Fri,May,185,70
AA,2015,MIA,8-Noon,Fri,May,190,-2
AA,2019,STL,8-Mid,Fri,May,160,0
AA,2093,MIA,Noon-4pm,Fri,May,190,17
AA,2223,STL,4-8pm,Fri,May,175,-5
AA,2255,MIA,4-8am,Fri,May,175,-3
AA,301,ORD,4-8am,Sat,May,140,-7
AA,303,ORD,4-8am,Sat,May,145,-9
AA,305,ORD,4-8am,Sat,May,145,-7
AA,309,ORD,8-Noon,Sat,May,145,-7
AA,313,ORD,8-Noon,Sat,May,155,-7
AA,319,ORD,8-Noon,Sat,May,150,-8
AA,327,ORD,Noon-4pm,Sat,May,155,-10
AA,333,ORD,Noon-4pm,Sat,May,155,-9
AA,335,ORD,Noon-4pm,Sat,May,160,-6
AA,345,ORD,4-8pm,Sat,May,160,-3
AA,363,ORD,4-8pm,Sat,May,155,-3
AA,413,MIA,4-8am,Sat,May,185,-2
AA,599,MIA,8-Noon,Sat,May,190,-5
AA,611,BNA,8-Noon,Sat,May,155,-8
AA,707,DFW,4-8am,Sat,May,230,10
AA,709,DFW,4-8am,Sat,May,235,-8
AA,713,DFW,8-Noon,Sat,May,240,-10
AA,721,DFW,8-Noon,Sat,May,245,-8
AA,731,DFW,8-Noon,Sat,May,240,-7
AA,743,DFW,Noon-4pm,Sat,May,235,-4
AA,745,DFW,Noon-4pm,Sat,May,240,26
AA,751,DFW,Noon-4pm,Sat,May,245,-5
AA,759,DFW,Noon-4pm,Sat,May,245,-4
AA,763,DFW,4-8pm,Sat,May,250,-4
AA,785,DFW,4-8pm,Sat,May,240,0
AA,787,DFW,4-8pm,Sat,May,240,30
AA,1423,MIA,Noon-4pm,Sat,May,190,22
AA,1559,MIA,4-8pm,Sat,May,195,-4
AA,1685,MIA,4-8am,Sat,May,175,0
AA,1709,MIA,8-Mid,Sat,May,185,10
AA,1741,BNA,Noon-4pm,Sat,May,150,-8
AA,1757,STL,8-Noon,Sat,May,170,-2
AA,2011,MIA,4-8pm,Sat,May,185,-10
AA,2015,MIA,8-Noon,Sat,May,190,-6
AA,2093,MIA,Noon-4pm,Sat,May,190,-9
AA,2223,STL,4-8pm,Sat,May,175,-10
AA,2255,MIA,4-8am,Sat,May,175,-3
AA,301,ORD,4-8am,Sun,May,140,-1
AA,305,ORD,4-8am,Sun,May,145,-1
AA,309,ORD,8-Noon,Sun,May,145,-9
AA,313,ORD,8-Noon,Sun,May,155,-7
AA,319,ORD,8-Noon,Sun,May,150,-9
AA,321,ORD,8-Noon,Sun,May,155,-8
AA,327,ORD,Noon-4pm,Sun,May,155,-9
AA,329,ORD,Noon-4pm,Sun,May,150,-8
AA,333,ORD,Noon-4pm,Sun,May,155,-4
AA,335,ORD,Noon-4pm,Sun,May,160,-4
AA,337,ORD,Noon-4pm,Sun,May,160,1
AA,341,ORD,4-8pm,Sun,May,160,-5
AA,345,ORD,4-8pm,Sun,May,160,-6
AA,347,ORD,4-8pm,Sun,May,155,-5
AA,363,ORD,4-8pm,Sun,May,155,-10
AA,371,ORD,8-Mid,Sun,May,155,29
AA,413,MIA,4-8am,Sun,May,185,-4
AA,599,MIA,8-Noon,Sun,May,190,-12
AA,611,BNA,8-Noon,Sun,May,155,-11
AA,707,DFW,4-8am,Sun,May,230,-9
AA,709,DFW,4-8am,Sun,May,235,-9
AA,713,DFW,8-Noon,Sun,May,240,1
AA,721,DFW,8-Noon,Sun,May,245,-1
AA,731,DFW,8-Noon,Sun,May,240,-4
AA,743,DFW,Noon-4pm,Sun,May,235,-7
AA,745,DFW,Noon-4pm,Sun,May,240,-10
AA,751,DFW,Noon-4pm,Sun,May,245,-5
AA,753,DFW,Noon-4pm,Sun,May,240,-1
AA,759,DFW,Noon-4pm,Sun,May,245,-6
AA,763,DFW,4-8pm,Sun,May,250,-6
AA,785,DFW,4-8pm,Sun,May,240,0
AA,787,DFW,4-8pm,Sun,May,240,-3
AA,1423,MIA,Noon-4pm,Sun,May,190,-3
AA,1551,BNA,4-8pm,Sun,May,150,35
AA,1559,MIA,4-8pm,Sun,May,195,-6
AA,1685,MIA,4-8am,Sun,May,175,-1
AA,1709,MIA,8-Mid,Sun,May,185,8
AA,1741,BNA,Noon-4pm,Sun,May,150,-5
AA,1757,STL,8-Noon,Sun,May,170,-8
AA,1855,STL,8-Noon,Sun,May,165,-3
AA,2011,MIA,4-8pm,Sun,May,185,3
AA,2015,MIA,8-Noon,Sun,May,190,-8
AA,2019,STL,8-Mid,Sun,May,160,-1
AA,2093,MIA,Noon-4pm,Sun,May,190,-4
AA,2223,STL,4-8pm,Sun,May,175,-7
AA,2255,MIA,4-8am,Sun,May,175,-9
AA,301,ORD,4-8am,Mon,May,140,-4
AA,303,ORD,4-8am,Mon,May,145,-3
AA,305,ORD,4-8am,Mon,May,145,-3
AA,309,ORD,8-Noon,Mon,May,145,-6
AA,313,ORD,8-Noon,Mon,May,155,-1
AA,319,ORD,8-Noon,Mon,May,150,3
AA,321,ORD,8-Noon,Mon,May,155,-4
AA,327,ORD,Noon-4pm,Mon,May,155,-7
AA,329,ORD,Noon-4pm,Mon,May,150,-6
AA,333,ORD,Noon-4pm,Mon,May,155,-5
AA,335,ORD,Noon-4pm,Mon,May,160,-5
AA,337,ORD,Noon-4pm,Mon,May,160,39
AA,341,ORD,4-8pm,Mon,May,160,-7
AA,345,ORD,4-8pm,Mon,May,160,-5
AA,347,ORD,4-8pm,Mon,May,155,0
AA,363,ORD,4-8pm,Mon,May,155,-5
AA,371,ORD,8-Mid,Mon,May,155,0
AA,413,MIA,4-8am,Mon,May,185,-3
AA,599,MIA,8-Noon,Mon,May,190,-5
AA,611,BNA,8-Noon,Mon,May,155,-9
AA,701,DFW,4-8am,Mon,May,225,-12
AA,707,DFW,4-8am,Mon,May,230,17
AA,709,DFW,4-8am,Mon,May,235,-4
AA,713,DFW,8-Noon,Mon,May,240,-4
AA,721,DFW,8-Noon,Mon,May,245,-3
AA,731,DFW,8-Noon,Mon,May,240,-13
AA,739,DFW,8-Noon,Mon,May,240,-8
AA,743,DFW,Noon-4pm,Mon,May,235,-7
AA,745,DFW,Noon-4pm,Mon,May,240,-4
AA,751,DFW,Noon-4pm,Mon,May,245,-4
AA,753,DFW,Noon-4pm,Mon,May,240,-6
AA,759,DFW,Noon-4pm,Mon,May,245,-8
AA,763,DFW,4-8pm,Mon,May,250,-8
AA,785,DFW,4-8pm,Mon,May,240,-3
AA,787,DFW,4-8pm,Mon,May,240,-3
AA,791,DFW,8-Mid,Mon,May,235,0
AA,1423,MIA,Noon-4pm,Mon,May,190,-2
AA,1551,BNA,4-8pm,Mon,May,150,-3
AA,1559,MIA,4-8pm,Mon,May,195,-6
AA,1685,MIA,4-8am,Mon,May,175,0
AA,1709,MIA,8-Mid,Mon,May,185,84
AA,1741,BNA,Noon-4pm,Mon,May,150,-7
AA,1757,STL,8-Noon,Mon,May,170,-5
AA,1855,STL,8-Noon,Mon,May,165,-2
AA,2011,MIA,4-8pm,Mon,May,185,-7
AA,2015,MIA,8-Noon,Mon,May,190,24
AA,2019,STL,8-Mid,Mon,May,160,48
AA,2093,MIA,Noon-4pm,Mon,May,190,-6
AA,2223,STL,4-8pm,Mon,May,175,-6
AA,2255,MIA,4-8am,Mon,May,175,28
AA,301,ORD,4-8am,Tue,May,140,-8
AA,303,ORD,4-8am,Tue,May,145,-4
AA,305,ORD,4-8am,Tue,May,145,-7
AA,309,ORD,8-Noon,Tue,May,145,-6
AA,313,ORD,8-Noon,Tue,May,155,-6
AA,319,ORD,8-Noon,Tue,May,150,8
AA,321,ORD,8-Noon,Tue,May,155,38
AA,327,ORD,Noon-4pm,Tue,May,155,-7
AA,329,ORD,Noon-4pm,Tue,May,150,0
AA,333,ORD,Noon-4pm,Tue,May,155,-7
AA,335,ORD,Noon-4pm,Tue,May,160,0
AA,337,ORD,Noon-4pm,Tue,May,160,17
AA,341,ORD,4-8pm,Tue,May,160,0
AA,345,ORD,4-8pm,Tue,May,160,-3
AA,347,ORD,4-8pm,Tue,May,155,33
AA,363,ORD,4-8pm,Tue,May,155,0
AA,371,ORD,8-Mid,Tue,May,155,13
AA,413,MIA,4-8am,Tue,May,185,0
AA,599,MIA,8-Noon,Tue,May,190,-7
AA,611,BNA,8-Noon,Tue,May,155,-7
AA,701,DFW,4-8am,Tue,May,225,-6
AA,707,DFW,4-8am,Tue,May,230,-7
AA,709,DFW,4-8am,Tue,May,235,-7
AA,713,DFW,8-Noon,Tue,May,240,-1
AA,721,DFW,8-Noon,Tue,May,245,-6
AA,731,DFW,8-Noon,Tue,May,240,25
AA,739,DFW,8-Noon,Tue,May,240,-8
AA,743,DFW,Noon-4pm,Tue,May,235,57
AA,745,DFW,Noon-4pm,Tue,May,240,44
AA,751,DFW,Noon-4pm,Tue,May,245,139
AA,753,DFW,Noon-4pm,Tue,May,240,0
AA,759,DFW,Noon-4pm,Tue,May,245,15
AA,763,DFW,4-8pm,Tue,May,250,0
AA,785,DFW,4-8pm,Tue,May,240,22
AA,787,DFW,4-8pm,Tue,May,240,25
AA,791,DFW,8-Mid,Tue,May,235,16
AA,1423,MIA,Noon-4pm,Tue,May,190,35
AA,1551,BNA,4-8pm,Tue,May,150,78
AA,1559,MIA,4-8pm,Tue,May,195,-4
AA,1685,MIA,4-8am,Tue,May,175,-8
AA,1709,MIA,8-Mid,Tue,May,185,44
AA,1741,BNA,Noon-4pm,Tue,May,150,-6
AA,1757,STL,8-Noon,Tue,May,170,30
AA,1855,STL,8-Noon,Tue,May,165,-6
AA,2011,MIA,4-8pm,Tue,May,185,8
AA,2015,MIA,8-Noon,Tue,May,190,-11
AA,2019,STL,8-Mid,Tue,May,160,48
AA,2093,MIA,Noon-4pm,Tue,May,190,63
AA,2223,STL,4-8pm,Tue,May,175,-11
AA,2255,MIA,4-8am,Tue,May,175,-8
AA,301,ORD,4-8am,Wed,May,140,0
AA,303,ORD,4-8am,Wed,May,145,-5
AA,305,ORD,4-8am,Wed,May,145,-7
AA,309,ORD,8-Noon,Wed,May,145,-7
AA,313,ORD,8-Noon,Wed,May,155,-6
AA,319,ORD,8-Noon,Wed,May,150,2
AA,321,ORD,8-Noon,Wed,May,155,-7
AA,327,ORD,Noon-4pm,Wed,May,155,-7
AA,329,ORD,Noon-4pm,Wed,May,150,0
AA,333,ORD,Noon-4pm,Wed,May,155,-1
AA,335,ORD,Noon-4pm,Wed,May,160,-7
AA,337,ORD,Noon-4pm,Wed,May,160,-4
AA,341,ORD,4-8pm,Wed,May,160,-6
AA,345,ORD,4-8pm,Wed,May,160,-3
AA,347,ORD,4-8pm,Wed,May,155,15
AA,363,ORD,4-8pm,Wed,May,155,0
AA,371,ORD,8-Mid,Wed,May,155,59
AA,413,MIA,4-8am,Wed,May,185,-1
AA,599,MIA,8-Noon,Wed,May,190,-4
AA,611,BNA,8-Noon,Wed,May,155,-7
AA,701,DFW,4-8am,Wed,May,225,-8
AA,707,DFW,4-8am,Wed,May,230,0
AA,709,DFW,4-8am,Wed,May,235,-7
AA,713,DFW,8-Noon,Wed,May,240,-7
AA,721,DFW,8-Noon,Wed,May,245,-3
AA,731,DFW,8-Noon,Wed,May,240,0
AA,739,DFW,8-Noon,Wed,May,240,21
AA,743,DFW,Noon-4pm,Wed,May,235,0
AA,745,DFW,Noon-4pm,Wed,May,240,77
AA,751,DFW,Noon-4pm,Wed,May,245,20
AA,753,DFW,Noon-4pm,Wed,May,240,-3
AA,759,DFW,Noon-4pm,Wed,May,245,42
AA,763,DFW,4-8pm,Wed,May,250,5
AA,785,DFW,4-8pm,Wed,May,240,-6
AA,787,DFW,4-8pm,Wed,May,240,56
AA,791,DFW,8-Mid,Wed,May,235,40
AA,1423,MIA,Noon-4pm,Wed,May,190,70
AA,1551,BNA,4-8pm,Wed,May,150,-3
AA,1559,MIA,4-8pm,Wed,May,195,75
AA,1685,MIA,4-8am,Wed,May,175,-4
AA,1709,MIA,8-Mid,Wed,May,185,40
AA,1741,BNA,Noon-4pm,Wed,May,150,50
AA,1757,STL,8-Noon,Wed,May,170,24
AA,1855,STL,8-Noon,Wed,May,165,-7
AA,2011,MIA,4-8pm,Wed,May,185,64
AA,2015,MIA,8-Noon,Wed,May,190,-5
AA,2019,STL,8-Mid,Wed,May,160,19
AA,2093,MIA,Noon-4pm,Wed,May,190,-3
AA,2223,STL,4-8pm,Wed,May,175,-4
AA,2255,MIA,4-8am,Wed,May,175,-7
AA,301,ORD,4-8am,Thu,May,140,-6
AA,303,ORD,4-8am,Thu,May,145,-7
AA,305,ORD,4-8am,Thu,May,145,-7
AA,309,ORD,8-Noon,Thu,May,145,2
AA,313,ORD,8-Noon,Thu,May,155,-3
AA,319,ORD,8-Noon,Thu,May,150,-4
AA,321,ORD,8-Noon,Thu,May,155,-2
AA,327,ORD,Noon-4pm,Thu,May,155,54
AA,329,ORD,Noon-4pm,Thu,May,150,44
AA,333,ORD,Noon-4pm,Thu,May,155,0
AA,335,ORD,Noon-4pm,Thu,May,160,111
AA,337,ORD,Noon-4pm,Thu,May,160,88
AA,341,ORD,4-8pm,Thu,May,160,0
AA,345,ORD,4-8pm,Thu,May,160,14
AA,347,ORD,4-8pm,Thu,May,155,129
AA,363,ORD,4-8pm,Thu,May,155,0
AA,371,ORD,8-Mid,Thu,May,155,0
AA,413,MIA,4-8am,Thu,May,185,-8
AA,599,MIA,8-Noon,Thu,May,190,-1
AA,611,BNA,8-Noon,Thu,May,155,-4
AA,701,DFW,4-8am,Thu,May,225,-9
AA,707,DFW,4-8am,Thu,May,230,-5
AA,709,DFW,4-8am,Thu,May,235,-3
AA,713,DFW,8-Noon,Thu,May,240,-7
AA,721,DFW,8-Noon,Thu,May,245,-3
AA,731,DFW,8-Noon,Thu,May,240,-7
AA,739,DFW,8-Noon,Thu,May,240,-6
AA,743,DFW,Noon-4pm,Thu,May,235,2
AA,745,DFW,Noon-4pm,Thu,May,240,0
AA,751,DFW,Noon-4pm,Thu,May,245,58
AA,753,DFW,Noon-4pm,Thu,May,240,-2
AA,759,DFW,Noon-4pm,Thu,May,245,123
AA,763,DFW,4-8pm,Thu,May,250,25
AA,785,DFW,4-8pm,Thu,May,240,0
AA,787,DFW,4-8pm,Thu,May,240,112
AA,791,DFW,8-Mid,Thu,May,235,77
AA,1423,MIA,Noon-4pm,Thu,May,190,0
AA,1551,BNA,4-8pm,Thu,May,150,-2
AA,1559,MIA,4-8pm,Thu,May,195,200
AA,1685,MIA,4-8am,Thu,May,175,-6
AA,1709,MIA,8-Mid,Thu,May,185,92
AA,1741,BNA,Noon-4pm,Thu,May,150,71
AA,1757,STL,8-Noon,Thu,May,170,39
AA,1855,STL,8-Noon,Thu,May,165,-6
AA,2011,MIA,4-8pm,Thu,May,185,92
AA,2015,MIA,8-Noon,Thu,May,190,-4
AA,2019,STL,8-Mid,Thu,May,160,83
AA,2093,MIA,Noon-4pm,Thu,May,190,5
AA,2223,STL,4-8pm,Thu,May,175,59
AA,2255,MIA,4-8am,Thu,May,175,0
AA,301,ORD,4-8am,Fri,May,140,-6
AA,303,ORD,4-8am,Fri,May,145,-3
AA,305,ORD,4-8am,Fri,May,145,0
AA,309,ORD,8-Noon,Fri,May,145,-6
AA,313,ORD,8-Noon,Fri,May,155,-7
AA,319,ORD,8-Noon,Fri,May,150,-3
AA,321,ORD,8-Noon,Fri,May,155,-5
AA,327,ORD,Noon-4pm,Fri,May,155,-3
AA,329,ORD,Noon-4pm,Fri,May,150,-10
AA,333,ORD,Noon-4pm,Fri,May,155,-8
AA,335,ORD,Noon-4pm,Fri,May,160,-6
AA,337,ORD,Noon-4pm,Fri,May,160,-5
AA,341,ORD,4-8pm,Fri,May,160,-4
AA,345,ORD,4-8pm,Fri,May,160,-7
AA,347,ORD,4-8pm,Fri,May,155,-4
AA,363,ORD,4-8pm,Fri,May,155,-6
AA,371,ORD,8-Mid,Fri,May,155,-12
AA,413,MIA,4-8am,Fri,May,185,-7
AA,599,MIA,8-Noon,Fri,May,190,-2
AA,611,BNA,8-Noon,Fri,May,155,-1
AA,701,DFW,4-8am,Fri,May,225,-1
AA,707,DFW,4-8am,Fri,May,230,-8
AA,709,DFW,4-8am,Fri,May,235,-3
AA,713,DFW,8-Noon,Fri,May,240,-6
AA,721,DFW,8-Noon,Fri,May,245,-5
AA,731,DFW,8-Noon,Fri,May,240,-1
AA,739,DFW,8-Noon,Fri,May,240,0
AA,743,DFW,Noon-4pm,Fri,May,235,74
AA,745,DFW,Noon-4pm,Fri,May,240,-4
AA,751,DFW,Noon-4pm,Fri,May,245,-4
AA,753,DFW,Noon-4pm,Fri,May,240,9
AA,759,DFW,Noon-4pm,Fri,May,245,26
AA,763,DFW,4-8pm,Fri,May,250,9
AA,785,DFW,4-8pm,Fri,May,240,6
AA,787,DFW,4-8pm,Fri,May,240,-7
AA,791,DFW,8-Mid,Fri,May,235,-5
AA,1423,MIA,Noon-4pm,Fri,May,190,7
AA,1551,BNA,4-8pm,Fri,May,150,-3
AA,1559,MIA,4-8pm,Fri,May,195,-3
AA,1685,MIA,4-8am,Fri,May,175,1
AA,1709,MIA,8-Mid,Fri,May,185,-8
AA,1741,BNA,Noon-4pm,Fri,May,150,7
AA,1757,STL,8-Noon,Fri,May,170,0
AA,1855,STL,8-Noon,Fri,May,165,-7
AA,2011,MIA,4-8pm,Fri,May,185,-6
AA,2015,MIA,8-Noon,Fri,May,190,-6
AA,2019,STL,8-Mid,Fri,May,160,-11
AA,2093,MIA,Noon-4pm,Fri,May,190,-3
AA,2223,STL,4-8pm,Fri,May,175,-5
AA,2255,MIA,4-8am,Fri,May,175,-1
AA,301,ORD,4-8am,Sat,May,140,-7
AA,303,ORD,4-8am,Sat,May,145,-8
AA,305,ORD,4-8am,Sat,May,145,-5
AA,309,ORD,8-Noon,Sat,May,145,-8
AA,313,ORD,8-Noon,Sat,May,155,-7
AA,319,ORD,8-Noon,Sat,May,150,198
AA,327,ORD,Noon-4pm,Sat,May,155,143
AA,333,ORD,Noon-4pm,Sat,May,155,46
AA,335,ORD,Noon-4pm,Sat,May,160,23
AA,345,ORD,4-8pm,Sat,May,160,-7
AA,363,ORD,4-8pm,Sat,May,155,-7
AA,413,MIA,4-8am,Sat,May,185,-10
AA,599,MIA,8-Noon,Sat,May,190,170
AA,611,BNA,8-Noon,Sat,May,155,-10
AA,707,DFW,4-8am,Sat,May,230,-3
AA,709,DFW,4-8am,Sat,May,235,0
AA,713,DFW,8-Noon,Sat,May,240,-4
AA,721,DFW,8-Noon,Sat,May,245,-5
AA,731,DFW,8-Noon,Sat,May,240,52
AA,743,DFW,Noon-4pm,Sat,May,235,-6
AA,745,DFW,Noon-4pm,Sat,May,240,-9
AA,751,DFW,Noon-4pm,Sat,May,245,5
AA,759,DFW,Noon-4pm,Sat,May,245,40
AA,763,DFW,4-8pm,Sat,May,250,-1
AA,785,DFW,4-8pm,Sat,May,240,-5
AA,787,DFW,4-8pm,Sat,May,240,-13
AA,1423,MIA,Noon-4pm,Sat,May,190,43
AA,1559,MIA,4-8pm,Sat,May,195,-2
AA,1685,MIA,4-8am,Sat,May,175,2
AA,1709,MIA,8-Mid,Sat,May,185,-13
AA,1741,BNA,Noon-4pm,Sat,May,150,13
AA,1757,STL,8-Noon,Sat,May,170,-2
AA,2011,MIA,4-8pm,Sat,May,185,-9
AA,2015,MIA,8-Noon,Sat,May,190,-5
AA,2093,MIA,Noon-4pm,Sat,May,190,1
AA,2223,STL,4-8pm,Sat,May,175,-9
AA,2255,MIA,4-8am,Sat,May,175,5
AA,301,ORD,4-8am,Sun,May,140,-2
AA,305,ORD,4-8am,Sun,May,145,5
AA,309,ORD,8-Noon,Sun,May,145,-2
AA,313,ORD,8-Noon,Sun,May,155,-3
AA,319,ORD,8-Noon,Sun,May,150,0
AA,321,ORD,8-Noon,Sun,May,155,-4
AA,327,ORD,Noon-4pm,Sun,May,155,-5
AA,329,ORD,Noon-4pm,Sun,May,150,0
AA,333,ORD,Noon-4pm,Sun,May,155,-3
AA,335,ORD,Noon-4pm,Sun,May,160,-4
AA,337,ORD,Noon-4pm,Sun,May,160,-5
AA,341,ORD,4-8pm,Sun,May,160,-7
AA,345,ORD,4-8pm,Sun,May,160,-4
AA,347,ORD,4-8pm,Sun,May,155,-4
AA,363,ORD,4-8pm,Sun,May,155,-8
AA,371,ORD,8-Mid,Sun,May,155,5
AA,413,MIA,4-8am,Sun,May,185,-4
AA,599,MIA,8-Noon,Sun,May,190,-6
AA,611,BNA,8-Noon,Sun,May,155,-2
AA,707,DFW,4-8am,Sun,May,230,2
AA,709,DFW,4-8am,Sun,May,235,0
AA,713,DFW,8-Noon,Sun,May,240,-5
AA,721,DFW,8-Noon,Sun,May,245,11
AA,731,DFW,8-Noon,Sun,May,240,-5
AA,743,DFW,Noon-4pm,Sun,May,235,-5
AA,745,DFW,Noon-4pm,Sun,May,240,-7
AA,751,DFW,Noon-4pm,Sun,May,245,-6
AA,753,DFW,Noon-4pm,Sun,May,240,-7
AA,759,DFW,Noon-4pm,Sun,May,245,-9
AA,763,DFW,4-8pm,Sun,May,250,-2
AA,785,DFW,4-8pm,Sun,May,240,-9
AA,787,DFW,4-8pm,Sun,May,240,-12
AA,1423,MIA,Noon-4pm,Sun,May,190,36
AA,1551,BNA,4-8pm,Sun,May,150,-5
AA,1559,MIA,4-8pm,Sun,May,195,41
AA,1685,MIA,4-8am,Sun,May,175,4
AA,1709,MIA,8-Mid,Sun,May,185,9
AA,1741,BNA,Noon-4pm,Sun,May,150,-6
AA,1757,STL,8-Noon,Sun,May,170,-8
AA,1855,STL,8-Noon,Sun,May,165,-6
AA,2011,MIA,4-8pm,Sun,May,185,-4
AA,2015,MIA,8-Noon,Sun,May,190,-2
AA,2019,STL,8-Mid,Sun,May,160,-16
AA,2093,MIA,Noon-4pm,Sun,May,190,-8
AA,2223,STL,4-8pm,Sun,May,175,12
AA,2255,MIA,4-8am,Sun,May,175,102
AA,301,ORD,4-8am,Mon,May,140,-5
AA,303,ORD,4-8am,Mon,May,145,-4
AA,305,ORD,4-8am,Mon,May,145,1
AA,309,ORD,8-Noon,Mon,May,145,0
AA,313,ORD,8-Noon,Mon,May,155,30
AA,319,ORD,8-Noon,Mon,May,150,-2
AA,321,ORD,8-Noon,Mon,May,155,-3
AA,327,ORD,Noon-4pm,Mon,May,155,-8
AA,329,ORD,Noon-4pm,Mon,May,150,-6
AA,333,ORD,Noon-4pm,Mon,May,155,-6
AA,335,ORD,Noon-4pm,Mon,May,160,-4
AA,337,ORD,Noon-4pm,Mon,May,160,-5
AA,341,ORD,4-8pm,Mon,May,160,-7
AA,345,ORD,4-8pm,Mon,May,160,-7
AA,347,ORD,4-8pm,Mon,May,155,75
AA,363,ORD,4-8pm,Mon,May,155,0
AA,371,ORD,8-Mid,Mon,May,155,-4
AA,413,MIA,4-8am,Mon,May,185,-3
AA,599,MIA,8-Noon,Mon,May,190,57
AA,611,BNA,8-Noon,Mon,May,155,18
AA,701,DFW,4-8am,Mon,May,225,-2
AA,707,DFW,4-8am,Mon,May,230,-2
AA,709,DFW,4-8am,Mon,May,235,-3
AA,713,DFW,8-Noon,Mon,May,240,-2
AA,721,DFW,8-Noon,Mon,May,245,-6
AA,731,DFW,8-Noon,Mon,May,240,-4
AA,739,DFW,8-Noon,Mon,May,240,28
AA,743,DFW,Noon-4pm,Mon,May,235,-5
AA,745,DFW,Noon-4pm,Mon,May,240,-3
AA,751,DFW,Noon-4pm,Mon,May,245,-5
AA,753,DFW,Noon-4pm,Mon,May,240,-4
AA,759,DFW,Noon-4pm,Mon,May,245,-7
AA,763,DFW,4-8pm,Mon,May,250,-2
AA,785,DFW,4-8pm,Mon,May,240,40
AA,787,DFW,4-8pm,Mon,May,240,-3
AA,791,DFW,8-Mid,Mon,May,235,-12
AA,1423,MIA,Noon-4pm,Mon,May,190,9
AA,1551,BNA,4-8pm,Mon,May,150,-15
AA,1559,MIA,4-8pm,Mon,May,195,-1
AA,1685,MIA,4-8am,Mon,May,175,-7
AA,1709,MIA,8-Mid,Mon,May,185,22
AA,1741,BNA,Noon-4pm,Mon,May,150,-12
AA,1757,STL,8-Noon,Mon,May,170,-7
AA,1855,STL,8-Noon,Mon,May,165,-2
AA,2011,MIA,4-8pm,Mon,May,185,126
AA,2015,MIA,8-Noon,Mon,May,190,39
AA,2019,STL,8-Mid,Mon,May,160,-9
AA,2093,MIA,Noon-4pm,Mon,May,190,139
AA,2223,STL,4-8pm,Mon,May,175,-3
AA,2255,MIA,4-8am,Mon,May,175,-8
AA,301,ORD,4-8am,Tue,May,140,-5
AA,303,ORD,4-8am,Tue,May,145,-2
AA,305,ORD,4-8am,Tue,May,145,-6
AA,309,ORD,8-Noon,Tue,May,145,-7
AA,313,ORD,8-Noon,Tue,May,155,-10
AA,319,ORD,8-Noon,Tue,May,150,-3
AA,321,ORD,8-Noon,Tue,May,155,-5
AA,327,ORD,Noon-4pm,Tue,May,155,-6
AA,329,ORD,Noon-4pm,Tue,May,150,-7
